Unnamed: 0,subject,age_class,arousal,general_arousal,valence,context,context_complet,context_general,file,Playback,negative_high,negative_low,positive_high,positive_low,total,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,valence_arousal,UMAP_1,UMAP_2,UMAP_3,UMAP_2D_1,UMAP_2D_2,has_audio,has_image,general_arousal_refined,valence_refined,valence_arousal_refined
69,Kumbuka,Adult,medium,low,negative,External event,External-event,External-event,Call1495_Kumbuka.wav,No,,,,,0,-3.302205172373129,0.8133790535696297,3.695400878062413,0.0665585280597311,-0.5497422375893746,-0.6831636914601918,0.487555689313159,-2.221854169387147,1.513656060059177,-1.7022434722320663,-1.2213920969242915,4.2946645131872305,-1.879779010765591,-1.3064156676079088,0.3048348481728671,5.044095121358012,-4.019305446063307,0.6605550855497719,-0.1657109379188024,-0.5766861446573045,negative_medium,3.2855642,4.518369,0.54518217,-0.45089003,1.7168728,False,False,low,negative,negative_low
70,Lingoye,Juvenile,medium,low,positive,Contact-groom,Grooming,Affiliatif,S2_Call1446_Lingoye.wav,No,,,,,0,-16.426240995215228,5.2601269917148255,-3.4664228091524203,6.664574315590732,-0.9698114387320764,-0.7313346771803253,4.294029791360728,-1.7859600035681675,0.8406041154505712,-0.580300065440809,-2.7478781849697795,-0.8173031526261118,-1.298371389488499,-1.5065331418762578,-0.4566294006046346,1.261050662620426,0.3438875884254021,0.1597038757455987,-0.7552476120160331,0.7698050696959753,positive_medium,3.1368864,3.4406915,2.726568,1.3556278,3.756237,False,False,low,positive,positive_low
71,Ulindi,Adult,low,low,positive,Feeding,Foraging,Food,Call1570_Ulindi_3.wav,No,,,,,0,-10.72815227955308,-19.7221130372689,2.020071713477912,0.8862577435638272,2.3911532141485705,-0.1444316894286283,-4.353514905275418,-7.474270379625361,8.211028481862767,3.211083565379098,5.088642118759174,3.936367670577365,-2.066737815657029,1.8168374297760832,0.9159486657510704,-1.188273456341616,-2.123810139395938,-1.5992985622515552,-0.445384892180062,0.513035998527074,positive_low,3.494008,4.237765,0.058320012,-0.775971,1.1175423,False,False,low,positive,positive_low
72,Loolo,Infant,high,high,positive,Tickle,Play,Affiliatif,S3_Loolo_Sarrive_Test12_Fam6_Tickl6_22_06_23_9h54.wav,Yes,17.02,6.38,36.17,40.43,0,4.442965700489431,-4.271441303805539,-6.693893465418211,5.491829250126022,0.2416984963603905,-2.8108074691092595,-1.4368445284118745,0.2568155827393334,-0.7426370536422452,1.5026413461496166,-0.3224371970835681,-0.6416845677578124,0.013191080436617,-0.327987148657332,-0.0904878050325669,-0.539406946975227,0.52101867849986,0.1675756272041643,2.0769566556806014,-0.5052883037622705,positive_high,1.1150618,4.239864,2.8928308,0.14139391,5.1506643,True,True,high,positive,positive_high
73,Zuani,Adult,high,high,positive,Pre/start-feeding,Pre-feeding,Food,Call765_Zuani_2.wav,No,,,,,0,3.320763708543972,-0.2224138715821719,9.022941575209051,1.9471707559578983,9.016678366715253,-0.7730471712079399,0.059084439755075,2.4241346430401784,-2.4193614876857823,-4.64835054258967,2.9406659756355955,-3.3169424767082387,0.4365060151747246,-0.5935200400716653,1.788849191804858,0.5247083490346396,0.5543021043373332,-5.870256677851342,-1.0192620860110475,0.9774318879413848,positive_low,3.9300067,5.4972005,-0.14108121,-1.9053456,1.6209452,False,False,high,positive,positive_low
74,Kelele,Sub-adult,low,low,positive,Feeding,Foraging,Food,S7_Call1991_Kelele.wav,No,,,,,0,-16.250914947747475,-2.000049635131764,-1.4950207906862558,1.100717149517548,-1.025226921507674,5.449679840247551,0.9408043508126732,0.2770043188377438,1.2410598073483714,-0.099773220583169,-0.7498314453692814,-1.1459146457953624,-1.3708368615136428,1.8202880145533509,-1.1344905787297443,0.0317942426505052,-0.4897562629823548,-0.2034866284143802,0.763365470930581,-0.5185593482170914,positive_very high,2.9875803,4.189922,-0.64494383,-1.5802225,0.6152122,False,False,low,positive,positive_high
75,Jill,Adult,low,low,positive,Feeding,Foraging,Food,Call930_Jill_5.wav,Yes,38.24,14.71,38.24,8.82,0,-25.25598563607137,-16.803008956569464,-2.599554304454366,-6.195557670335843,-2.514514809203386,-4.290442776339712,3.594086650922407,6.331400779948691,1.4114910725047023,-2.012601879164534,3.524271351621117,2.9303642081388728,4.978796849789572,-1.382752014939738,5.2489528385821655,-0.5299903740343263,2.283932432676313,0.9909677437096812,1.7732049981953026,0.8928183861699246,positive_low,1.4561775,5.364097,-0.45910087,-2.6554635,2.7959921,True,True,low,positive,positive_low
78,Habari,Juvenile,high,low,positive,Change in environment,Room_shift,Room_shift,S11_Call219_Habari.wav,No,,,,,0,-6.738454768698793,-2.805745650629743,5.677615166676811,-3.190686924998386,1.8277938768154995,-5.155474791745765,3.562356666366895,-3.7289815751624222,1.9121272281868025,2.635661826396273,-2.221123617444307,1.219919819061431,-0.0517047994938078,-2.12542244131921,0.9702137011389778,-0.3474039147759336,-0.8783328039049201,-0.782140817522443,-0.4752451979464013,1.0464907338006104,positive_high,3.8310106,4.4324126,0.8927847,0.12118926,1.7633313,False,False,low,positive,positive_high
79,Vifijo,Adult,very high,high,negative,Mild aggression-Victim,Agonistic_victim,Agonistic,S2_Call163_Vifijo.wav,No,,,,,0,-16.279133761356622,-7.737507909140997,-2.882063665797437,3.834748590000015,2.0337160013424405,-1.5370029051299192,-2.1885778792852992,-3.954117144634611,8.480234389323313,1.4066791118801991,2.1271506737464474,0.2739370689118104,-0.333359269354147,1.5017516946690694,1.2218553379401014,-0.8836228232990055,0.2042610887110141,-0.9069104805089624,-2.6186441281997688,1.1098643826803432,negative_high,3.415271,3.9913805,0.093035765,-0.5686935,0.9277973,False,False,high,negative,negative_high
81,Loto,Infant,very high,high,negative,Tantrum,Tantrum,Tantrum,S4_Call1859_Loto.wav,No,,,,,0,21.469009744090947,-1.474778816372852,-2.5054410831885394,0.9574097807279366,-1.914490034637683,-0.3679112259509122,4.48771976753034,-1.581455727900662,-2.7217279616960757,1.350525553456834,-0.6623114071652867,-0.9370147711395508,-1.6894149068839477,0.2818681063938456,-0.9291627760852766,-0.2994661052630657,-0.4032887367920688,0.0918057464247584,-0.9468203839566436,0.3971508606432194,negative_very high,2.7677388,7.338666,-0.95496327,-4.2761974,3.191541,False,False,high,negative,negative_high
